time,event,event_type,run_impact,comment,source_doc
2026-04-25,Создан каталог `D:\HOME_BASE\VKR_Experiments`,note,none,Пункт: 1 | Результат: Выполнено | Основной каталог размещён на Windows-хосте,00_docs\stage_4_0_log.md
2026-05-10,Проверена цепочка VPLC dump -> RawLogs для workload v0.3,measurement,low,"Пункт: 14 | Результат: Dry-run выполнен, TECH CSV ещё не зафиксирован как финальный RawLogs | После загрузки проекта `vkr_vplc_wl_timing_v03` подтверждены `freeze_logging=True` и остановка `sample_index/write_index`; сняты `vplc_dump.dat` и `vplc_dump_dict.dat` в `vplc\masc_vplc\vkr_vplc_wl_timing_v03\dump_probe`; `convert_vplc_dump_to_rawlogs.py --dry-run` нашёл 1000 строк кольцевого лога и готов сформировать CSV; предупреждение `mode_not_in_converter_table` ожидаемо для технического режима, не входящего в финальную матрицу Mode",00_docs\stage_4_0_log.md
2026-05-10,Зафиксирован TECH RawLogs CSV для VPLC workload v0.3,measurement,low,"Пункт: 14 | Результат: Выполнено как технический артефакт, не финальный режим сравнения | Сформирован `raw_logs\vplc_internal\VPLC_TECH_CYCLE100_T0_10_D20\RUN_20260510_VPLC_TECH_CYCLE100_T0_10_D20_S01_R01.csv`; файл содержит 1000 строк с `timestamp_source=vplc_internal`, `Tper=100`, `Jper=90`, `deadline_miss=1`, что соответствует проверочному mismatch: фактический цикл проекта 100 ms при параметрах `T0_ms=10` и `deadline_threshold_ms=20`; используется только для подтверждения цепочки VPLC ring log -> dump -> RawLogs",00_docs\stage_4_0_log.md
2026-05-10,Завершён финальный съём VPLC RawLogs с внутренним timing,measurement,none,"Пункт: 14 | Результат: Выполнено, переход к обработке данных по методике | Получены 25 финальных CSV в `raw_logs\vplc_internal` по 5 зеркальным режимам `VPLC_L0_IDLE_10_20`, `VPLC_L1_LIGHT_10_20`, `VPLC_L2_MEDIUM_25_35`, `VPLC_L3_HIGH_75_100`, `VPLC_L3_STRESS_75_80`, по 5 повторов и 1000 строк на повтор; данные сформированы через VPLC ST ring log, `vplc_dump.dat`/`vplc_dump_dict.dat` и `convert_vplc_dump_to_rawlogs.py`, с `timestamp_source=vplc_internal` и заполненными `Tper/Jper/deadline_miss`; обработка `process_cycle_rawlogs.py --pattern ""VPLC_L*\*.csv""` сформировала `processed_tables\vplc_internal\run_metrics.csv` и `mode_metrics.csv` для 25 запусков и 5 режимов; экспериментальный съём на HW PLC S7-1200 и VPLC считается закрытым, дальнейшая работа переносится в анализ данных и оформление выводов",00_docs\stage_4_0_log.md
2026-05-11,Начата офлайн-обработка данных для Главы 4,measurement,none,"Пункт: 14 | Результат: Выполнен первый пакет обработанных артефактов | `process_cycle_rawlogs.py` расширен без изменения базовых CSV: добавлен вывод `run_metrics_extended.csv` с `DQ99`, оконными `Q99`, долями валидных/исключённых строк и запасом до deadline; пересчитаны `processed_tables\hw_plc_s7_1200` и `processed_tables\vplc_internal`; добавлен `scripts\python\build_comparison_tables.py`, сформированы `processed_tables\comparison\mode_summary.csv`, `s7_vs_vplc_pair_comparison.csv`, `s7_vs_vplc_pair_delta.csv`, `repeatability_metrics.csv`, `baseline_stress_comparison.csv`, `data_quality_summary.csv`; создан индекс артефактов `00_docs\chapter_4_artifact_index.md`; следующий шаг - согласовать пороги GREEN/YELLOW/RED и сформировать `threshold_status.csv`, SummaryCards и графики",00_docs\stage_4_0_log.md
2026-05-11,Сформированы черновые статусы и SummaryCards для Главы 4,processing,medium,"Пункт: 14 | Результат: Выполнено, статусы требуют методического согласования | Добавлен черновой профиль порогов `configs\mode_thresholds.yaml` со статусом `draft_requires_review`; `scripts\python\assign_mode_status.py` сформировал `processed_tables\comparison\threshold_status.csv` для 10 режимов; добавлен и проверен `scripts\python\generate_summary_cards.py`; сформированы 15 Markdown-карточек: 5 для `summary_cards\hw_plc_s7_1200`, 5 для `summary_cards\vplc_internal`, 5 для `summary_cards\comparison`; обновлён `00_docs\chapter_4_artifact_index.md`; следующий шаг - подготовить графики и текстовые артефакты интерпретации для Главы 4",00_docs\stage_4_0_log.md
2026-05-11,Сформирован пакет графиков для Главы 4,measurement,none,"Пункт: 14 | Результат: Выполнено | Добавлен и проверен `scripts\python\generate_chapter4_figures.py`; сформированы `summary_cards\figures\fig_4_1_tper_quantiles_by_mode.png`, `fig_4_2_deadline_miss_rate_by_mode.png`, `fig_4_3_q99_repeatability_by_run.png`, `fig_4_4_stress_tper_timeseries_r01.png`, `fig_4_5_stress_tper_ecdf_r01.png` и `figures_manifest.csv`; графики построены только по `processed_tables` и финальным RawLogs, без ручного изменения данных; обновлён `00_docs\chapter_4_artifact_index.md`; следующий шаг - подготовить текстовые артефакты протокола, интерпретации, рекомендаций и ограничений",00_docs\stage_4_0_log.md
2026-05-11,Подготовлены текстовые артефакты для написания Главы 4,measurement,medium,"Пункт: 14 | Результат: Выполнено | Созданы `00_docs\chapter_4_run_protocol_summary.md`, `00_docs\chapter_4_cause_interpretation.md`, `00_docs\chapter_4_engineering_recommendations.md`, `00_docs\chapter_4_limitations.md`; документы опираются на финальные RawLogs и таблицы `processed_tables\comparison`; причинные формулировки отмечены как инженерная интерпретация, а статусы GREEN/YELLOW/RED сохранены как черновые до согласования `configs\mode_thresholds.yaml`",00_docs\stage_4_0_log.md
2026-05-11,Зафиксирована калиброванная шкала GREEN/YELLOW/RED,processing,none,"Пункт: 14 | Результат: Выполнено | `configs\mode_thresholds.yaml` переведён в версию `1.0` со статусом `calibrated_for_vkr_chapter_4`; класс сценария зафиксирован как умеренно критичный циклический контур управления / технологической автоматики без функций ПАЗ/SIL; правила GREEN/YELLOW/RED сохранены: GREEN с запасом, YELLOW как режим с инженерным контролем, RED как нерекомендуемый рабочий режим; для `L3_STRESS_75_80` добавлена роль `stress_boundary`, где RED означает достижение или пересечение границы устойчивости при намеренно жёстком deadline; пересчитан `processed_tables\comparison\threshold_status.csv`, обновлены SummaryCards",00_docs\stage_4_0_log.md
2026-05-11,Сохранена табличная форма шкалы GREEN/YELLOW/RED,processing,none,"Пункт: 14 | Результат: Выполнено | Добавлен артефакт `00_docs\chapter_4_green_yellow_red_scale.md` с табличной шкалой порогов, смыслом статусов, отдельной трактовкой stress-режима и ссылкой на `configs\mode_thresholds.yaml`; обновлён `00_docs\chapter_4_artifact_index.md`",00_docs\stage_4_0_log.md
2026-05-11,Подготовлен handoff-пакет для написания Главы 4,processing,none,"Пункт: 14 | Результат: Выполнено | Добавлен `00_docs\chapter_4_handoff.md`: перечислены таблицы, графики, SummaryCards, ключевые численные факты, рекомендуемые выводы и формулировки, которых следует избегать; выполнена контрольная проверка актуального статуса `configs\mode_thresholds.yaml` и `processed_tables\comparison\threshold_status.csv`; обновлён `00_docs\chapter_4_artifact_index.md`",00_docs\stage_4_0_log.md
2026-05-11,Выполнен контрольный аудит пакета Главы 4,measurement,none,"Пункт: 14 | Результат: Выполнено | Проверены финальные RawLogs: 25 CSV S7 и 25 CSV VPLC по шаблонам `S7_L*`/`VPLC_L*`; проверены строки таблиц `processed_tables\comparison`: `mode_summary` 10, pair comparison 5, repeatability 60, baseline/stress 40, data quality 50, threshold status 10; проверены ссылки из `chapter_4_handoff.md` и `chapter_4_artifact_index.md`, отсутствующих файлов не найдено; пакет графиков расширен до 9 PNG: добавлены дельта квантилей VPLC-HW, heatmap GREEN/YELLOW/RED, качество данных и boxplot `Tper`; добавлен аудит `00_docs\chapter_4_artifact_audit_2026-05-11.md`",00_docs\stage_4_0_log.md
2026-05-11,Добавлено подробное описание графиков для Главы 4,processing,none,"Пункт: 14 | Результат: Выполнено | В `summary_cards\figures\figures_chapter_4_guide.md` описаны все 9 графиков: источник данных, что показывает рисунок, куда вставлять в тексте и какой тезис он поддерживает; обновлён `00_docs\chapter_4_artifact_index.md`",00_docs\stage_4_0_log.md
2026-05-11,Добавлен временной ряд для рабочего high-load режима,processing,none,"Пункт: 14 | Результат: Выполнено | В `scripts\python\generate_chapter4_figures.py` добавлен график `summary_cards\figures\fig_4_10_high_tper_timeseries_r01.png` для `L3_HIGH_75_100 R01`; он дополняет stress-график `fig_4_4_stress_tper_timeseries_r01.png`: оба режима имеют одинаковый workload (`load_level=3`, `load_passes=512`), но разные deadline 100 ms и 80 ms; обновлены `figures_manifest.csv`, `figures_chapter_4_guide.md`, `chapter_4_handoff.md`, `chapter_4_artifact_index.md` и аудит",00_docs\stage_4_0_log.md
